ArraySize,QuickSort_TimeMs,QuickSort_Comparisons,MergeSort_TimeMs,MergeSort_Comparisons,STRINGQUICKSORT_TimeMs,STRINGQUICKSORT_Comparisons,STRINGMERGESORT_TimeMs,STRINGMERGESORT_Comparisons,MSDRadix_TimeMs,MSDRadix_Comparisons,MSDRadix_Quick_TimeMs,MSDRadix_Quick_Comparisons
100,0.1228,15035,0.1284,727,0.0082,569,0.1254,727,0.0498,214,0.0304,514
200,0.2574,29650,0.3202,1710,0.02,1311,0.3108,1710,0.091,433,0.06,1068
300,0.3734,45051,0.4596,2864,0.03,2054,0.4736,2864,0.1402,658,0.0856,1609
500,0.7506,76213,0.8544,4751,0.0586,3842,0.7782,4751,0.2076,1086,0.1322,2644
750,1.0092,122157,1.2972,7915,0.0964,6591,1.3232,7915,0.3098,1634,0.2014,3982
1000,1.3132,151141,1.878,10754,0.136,8888,1.9884,10754,0.4714,2189,0.287,5337
1500,2.764,234963,3.941,17346,0.2178,14665,2.8974,17346,0.7572,3298,0.4512,8105
2000,2.5324,306857,3.9694,23651,0.2898,19021,4.2172,23651,0.9992,4423,0.6476,10861
2250,3.1678,345855,4.8726,27364,0.3336,21872,4.6216,27364,1.2458,4966,0.645,12210
2500,3.1838,379953,5.5312,31014,0.3774,24326,5.6732,31014,1.2352,5512,0.8304,13589
2750,3.6558,419797,5.9956,34917,0.4552,26998,6.4078,34917,1.5508,6084,0.946,15020
3000,4.3622,468129,8.0278,37492,0.4516,30911,7.0932,37492,1.3214,6658,0.8566,16522
