ArraySize,QuickSort_TimeMs,QuickSort_Comparisons,MergeSort_TimeMs,MergeSort_Comparisons,STRINGQUICKSORT_TimeMs,STRINGQUICKSORT_Comparisons,STRINGMERGESORT_TimeMs,STRINGMERGESORT_Comparisons,MSDRadix_TimeMs,MSDRadix_Comparisons,MSDRadix_Quick_TimeMs,MSDRadix_Quick_Comparisons
100,0.1314,15913,0.1532,2198,0.0134,936,0.1412,2198,0.088,462,0.0838,502
200,0.2796,32322,0.3554,5326,0.0512,2069,0.351,5326,0.1744,1023,0.1702,1125
300,0.4992,53397,0.6038,8731,0.0538,3342,0.5726,8731,0.3038,1670,0.2832,1811
500,0.755,88431,0.985,16372,0.088,6088,0.935,16372,0.4808,3041,0.4236,3332
750,1.1424,134923,1.6836,26828,0.148,10443,1.5044,26828,1.0186,4579,0.7574,5425
1000,1.5516,182169,2.1692,37693,0.2056,13359,2.1902,37693,1.2562,5543,1.3692,7576
1500,2.5652,273650,3.5652,61126,0.3338,20396,3.7256,61126,2.0194,7714,1.4882,12389
2000,3.4166,376362,5.0732,85427,0.4408,28728,4.7038,85427,2.9596,10361,2.3146,17564
2250,3.7106,430870,5.6754,98028,0.6026,32332,5.385,98028,3.0504,11684,2.4826,20076
2500,4.0358,479431,6.501,111011,0.5954,39885,6.4156,111011,3.5902,13035,2.9064,22602
2750,5.129,526395,8.4692,124020,0.7736,41310,7.3468,124020,6.3402,14392,9.51,25466
3000,5.0742,577953,9.2424,137325,0.6952,46173,8.9724,137325,5.3998,15752,3.9636,28335
