ArraySize,QuickSort_TimeMs,QuickSort_Comparisons,MergeSort_TimeMs,MergeSort_Comparisons,STRINGQUICKSORT_TimeMs,STRINGQUICKSORT_Comparisons,STRINGMERGESORT_TimeMs,STRINGMERGESORT_Comparisons,MSDRadix_TimeMs,MSDRadix_Comparisons,MSDRadix_Quick_TimeMs,MSDRadix_Quick_Comparisons
100,0.12,13852,0.1374,597,0.012,692,0.1368,597,0.025,156,0.0254,190
200,0.2416,27724,0.3306,1496,0.0284,1556,0.329,1496,0.053,401,0.0496,488
300,0.3844,42227,0.5252,2511,0.0466,2627,0.4994,2511,0.0684,750,0.0682,889
500,0.6768,70509,0.99,4875,0.0972,5108,0.993,4875,0.1518,1633,0.1356,1819
750,0.9566,109869,1.4012,8121,0.137,7170,1.3972,8121,0.2986,2376,0.2022,3124
1000,1.2934,149787,1.973,11617,0.1874,10962,2.028,11617,0.6058,2444,0.3256,4636
1500,2.1246,219900,3.7344,19150,0.2714,15497,3.2288,19150,1.1214,3215,0.4672,7992
2000,2.7022,298314,4.4146,27191,0.4462,24477,4.4674,27191,1.1388,4349,0.6244,11313
2250,2.9958,336941,5.253,31335,0.477,25817,5.3072,31335,1.365,4945,0.7394,13246
2500,3.3358,367901,5.903,35641,0.6846,32237,6.6668,35641,1.6492,5542,1.0318,15368
2750,3.7412,416821,6.5092,40053,0.5768,32626,6.4182,40053,1.6006,6152,0.8902,17279
3000,5.1904,450272,8.9792,44418,0.8092,39094,8.51,44418,2.278,6758,1.6294,19479
