ArraySize,QuickSort_TimeMs,QuickSort_Comparisons,MergeSort_TimeMs,MergeSort_Comparisons,STRINGQUICKSORT_TimeMs,STRINGQUICKSORT_Comparisons,STRINGMERGESORT_TimeMs,STRINGMERGESORT_Comparisons,MSDRadix_TimeMs,MSDRadix_Comparisons,MSDRadix_Quick_TimeMs,MSDRadix_Quick_Comparisons
100,0.1106,13907,0.1396,594,0.0088,600,0.1256,594,0.0684,220,0.0366,527
200,0.3928,28769,0.4596,1300,0.0224,1334,0.306,1300,0.0998,439,0.0592,1047
300,0.3624,39173,0.4718,2079,0.03,2093,0.5524,2079,0.139,662,0.0844,1610
500,0.557,61390,0.9668,3754,0.0616,3818,0.8918,3754,0.2504,1122,0.1456,2665
750,1.0034,114720,1.329,5664,0.0888,6176,1.262,5664,0.3592,1691,0.1984,4011
1000,1.0928,123627,2.0438,8083,0.1248,8494,1.8302,8083,0.5588,2268,0.2666,5366
1500,1.9578,229960,4.0504,12161,0.365,13585,4.3168,12161,1.3074,3389,0.7524,8007
2000,2.1064,243811,4.1696,17087,0.2794,18971,4.0572,17087,0.998,4516,0.694,10694
2250,2.6398,293384,4.9242,18898,0.3324,21693,4.53,18898,1.4556,5083,0.8238,12034
2500,3.1318,352646,5.5014,21194,0.36,24406,5.4374,21194,1.4732,5647,0.7848,13382
2750,3.332,407779,5.9114,23205,0.3854,27325,5.71,23205,1.507,6215,0.894,14689
3000,5.06,462104,12.7362,25686,0.6922,30356,15.0284,25686,2.7896,6769,2.099,16022
