n;area;area_diff
100;0.972214;0.027696
600;0.972214;0.027696
1100;1.025243;0.080726
1600;0.941832;0.002685
2100;0.828696;0.115821
2600;0.871253;0.073264
3100;1.019256;0.074739
3600;0.934405;0.010112
4100;0.960357;0.015840
4600;0.913035;0.031482
5100;0.913118;0.031399
5600;0.866312;0.078205
6100;0.965838;0.021321
6600;0.898561;0.045956
7100;0.931134;0.013383
7600;0.996519;0.052002
8100;0.918202;0.026315
8600;0.941691;0.002827
9100;0.915590;0.028927
9600;0.966137;0.021620
10100;0.896169;0.048348
10600;0.963042;0.018525
11100;0.994986;0.050469
11600;0.911031;0.033486
12100;0.958554;0.014037
12600;0.923603;0.020914
13100;0.941786;0.002732
13600;0.974358;0.029841
14100;0.983246;0.038729
14600;0.926267;0.018251
15100;0.942596;0.001921
15600;0.956010;0.011493
16100;0.989122;0.044604
16600;0.944687;0.000170
17100;0.939806;0.004711
17600;0.907031;0.037486
18100;0.937300;0.007217
18600;0.933534;0.010983
19100;0.916731;0.027786
19600;0.967749;0.023232
20100;0.935453;0.009064
20600;0.892454;0.052063
21100;0.934431;0.010086
21600;0.947008;0.002491
22100;0.967814;0.023297
22600;0.931776;0.012741
23100;0.930126;0.014391
23600;0.942553;0.001964
24100;0.938731;0.005786
24600;0.944154;0.000363
25100;0.931156;0.013361
25600;0.961580;0.017063
26100;0.933474;0.011043
26600;0.919217;0.025300
27100;0.928087;0.016430
27600;0.966578;0.022060
28100;0.951801;0.007283
28600;0.943319;0.001198
29100;0.936466;0.008052
29600;0.917362;0.027155
30100;0.950573;0.006056
30600;0.951562;0.007045
31100;0.933137;0.011380
31600;0.944524;0.000007
32100;0.930115;0.014403
32600;0.929567;0.014950
33100;0.939904;0.004613
33600;0.956010;0.011493
34100;0.951971;0.007454
34600;0.960693;0.016176
35100;0.952548;0.008031
35600;0.946270;0.001753
36100;0.921314;0.023203
36600;0.974870;0.030353
37100;0.947319;0.002801
37600;0.926964;0.017553
38100;0.939296;0.005221
38600;0.979266;0.034749
39100;0.931684;0.012833
39600;0.959693;0.015175
40100;0.924209;0.020308
40600;0.976524;0.032007
41100;0.926087;0.018431
41600;0.947207;0.002690
42100;0.950275;0.005758
42600;0.910366;0.034151
43100;0.944243;0.000274
43600;0.968200;0.023683
44100;0.947963;0.003446
44600;0.964148;0.019631
45100;0.933842;0.010675
45600;0.923816;0.020701
46100;0.957240;0.012723
46600;0.946344;0.001826
47100;0.951572;0.007055
47600;0.936062;0.008455
48100;0.963118;0.018601
48600;0.921202;0.023315
49100;0.942909;0.001609
49600;0.965157;0.020640
50100;0.938254;0.006263
50600;0.947428;0.002911
51100;0.939680;0.004838
51600;0.951111;0.006594
52100;0.952620;0.008103
52600;0.935987;0.008531
53100;0.932300;0.012217
53600;0.942830;0.001688
54100;0.942023;0.002494
54600;0.945148;0.000631
55100;0.956510;0.011993
55600;0.953329;0.008812
56100;0.944832;0.000315
56600;0.955896;0.011378
57100;0.941225;0.003292
57600;0.943857;0.000660
58100;0.932555;0.011962
58600;0.952471;0.007954
59100;0.940793;0.003724
59600;0.959653;0.015136
60100;0.959272;0.014755
60600;0.938844;0.005673
61100;0.936730;0.007787
61600;0.928969;0.015548
62100;0.952801;0.008283
62600;0.945346;0.000829
63100;0.938317;0.006200
63600;0.928495;0.016023
64100;0.962658;0.018141
64600;0.944221;0.000296
65100;0.961610;0.017093
65600;0.944796;0.000279
66100;0.932501;0.012016
66600;0.951923;0.007405
67100;0.927443;0.017075
67600;0.941580;0.002937
68100;0.946374;0.001856
68600;0.928421;0.016096
69100;0.936336;0.008181
69600;0.939108;0.005409
70100;0.945169;0.000652
70600;0.941229;0.003288
71100;0.945823;0.001306
71600;0.954697;0.010180
72100;0.960078;0.015561
72600;0.941949;0.002568
73100;0.942688;0.001829
73600;0.948569;0.004052
74100;0.946498;0.001981
74600;0.934941;0.009576
75100;0.950594;0.006077
75600;0.942378;0.002139
76100;0.936187;0.008330
76600;0.963329;0.018812
77100;0.959604;0.015087
77600;0.962567;0.018049
78100;0.939350;0.005167
78600;0.938075;0.006442
79100;0.944682;0.000165
79600;0.964030;0.019513
80100;0.958377;0.013860
80600;0.937233;0.007284
81100;0.951235;0.006718
81600;0.928964;0.015553
82100;0.956938;0.012420
82600;0.943730;0.000787
83100;0.945539;0.001022
83600;0.945234;0.000716
84100;0.937417;0.007100
84600;0.957274;0.012757
85100;0.952107;0.007590
85600;0.954836;0.010319
86100;0.928176;0.016341
86600;0.943362;0.001156
87100;0.958149;0.013632
87600;0.949573;0.005056
88100;0.960847;0.016330
88600;0.947634;0.003117
89100;0.950609;0.006092
89600;0.928160;0.016357
90100;0.950849;0.006331
90600;0.936480;0.008037
91100;0.953538;0.009021
91600;0.946422;0.001905
92100;0.945507;0.000990
92600;0.939037;0.005481
93100;0.951850;0.007333
93600;0.939806;0.004711
94100;0.941838;0.002679
94600;0.941177;0.003340
95100;0.956470;0.011953
95600;0.938654;0.005863
96100;0.932253;0.012265
96600;0.957922;0.013405
97100;0.956694;0.012177
97600;0.946613;0.002096
98100;0.956654;0.012137
98600;0.949239;0.004722
99100;0.933757;0.010760
99600;0.968309;0.023792
