scale;area;area_diff
1.0;0.945624;0.001106
1.1;0.942361;0.002156
1.2;0.946070;0.001552
1.3;0.940625;0.003893
1.4;0.952026;0.007509
1.5;0.941557;0.002960
1.6;0.946616;0.002098
1.7;0.944030;0.000487
1.8;0.943039;0.001479
1.9;0.937860;0.006658
2.0;0.940208;0.004309
2.1;0.944742;0.000225
2.2;0.949243;0.004726
2.3;0.944102;0.000415
2.4;0.957760;0.013242
2.5;0.959332;0.014815
2.6;0.951846;0.007329
2.7;0.942346;0.002172
2.8;0.937906;0.006611
2.9;0.944528;0.000011
3.0;0.955492;0.010974
3.1;0.944014;0.000503
3.2;0.930936;0.013581
3.3;0.953184;0.008667
3.4;0.937765;0.006753
3.5;0.951697;0.007180
3.6;0.949150;0.004632
3.7;0.942852;0.001665
3.8;0.930910;0.013607
3.9;0.945800;0.001283
4.0;0.932236;0.012281
4.1;0.959819;0.015302
4.2;0.957990;0.013473
4.3;0.937281;0.007237
4.4;0.947126;0.002609
4.5;0.941645;0.002872
4.6;0.933353;0.011164
4.7;0.944308;0.000209
4.8;0.949752;0.005234
4.9;0.947253;0.002736
5.0;0.920443;0.024074
5.1;0.962434;0.017917
5.2;0.939819;0.004698
5.3;0.915414;0.029103
5.4;0.965876;0.021359
5.5;0.966395;0.021878
5.6;0.954904;0.010386
5.7;0.916029;0.028488
5.8;0.946817;0.002300
5.9;0.935752;0.008765
6.0;0.938342;0.006176
6.1;0.948898;0.004381
6.2;0.938034;0.006483
6.3;0.943070;0.001447
6.4;0.953336;0.008818
6.5;0.933247;0.011270
6.6;0.948632;0.004114
6.7;0.966685;0.022168
6.8;0.935517;0.009000
6.9;0.951663;0.007145
7.0;0.950387;0.005870
7.1;0.966463;0.021946
7.2;0.919792;0.024725
7.3;0.957953;0.013436
7.4;0.899729;0.044788
7.5;0.926398;0.018119
7.6;0.964182;0.019665
7.7;0.936115;0.008402
7.8;0.935153;0.009364
7.9;0.929554;0.014963
8.0;0.910303;0.034214
8.1;0.970199;0.025682
8.2;0.928277;0.016240
8.3;0.918238;0.026279
8.4;0.950102;0.005584
8.5;0.969346;0.024828
8.6;0.963526;0.019009
8.7;0.987535;0.043018
8.8;0.886142;0.058375
8.9;0.964153;0.019636
9.0;0.929242;0.015275
9.1;0.900896;0.043621
9.2;0.903524;0.040993
9.3;0.896365;0.048152
9.4;0.969006;0.024489
9.5;0.996752;0.052235
9.6;0.949752;0.005234
9.7;0.942198;0.002319
9.8;0.965460;0.020943
9.9;0.970018;0.025501
